TOP.67ab39e8.00029e4c	START
TOP.67ab44b7.000b8de8	user_options->hex_charset	0
TOP.67ab44b7.000b8de8	user_options->hex_salt	0
TOP.67ab44b7.000b8de8	user_options->hex_wordlist	0
TOP.67ab44b7.000b8de8	user_options->hook_threads	16
TOP.67ab44b7.000b8de8	user_options->identify	0
TOP.67ab44b7.000b8de8	user_options->increment	0
TOP.67ab44b7.000b8de8	user_options->increment_max	256
TOP.67ab44b7.000b8de8	user_options->increment_min	1
TOP.67ab44b7.000b8de8	user_options->keep_guessing	0
TOP.67ab44b7.000b8de8	user_options->kernel_accel	0
TOP.67ab44b7.000b8de8	user_options->kernel_loops	0
TOP.67ab44b7.000b8de8	user_options->kernel_threads	0
TOP.67ab44b7.000b8de8	user_options->keyspace	0
TOP.67ab44b7.000b8de8	user_options->left	0
TOP.67ab44b7.000b8de8	user_options->logfile_disable	0
TOP.67ab44b7.000b8de8	user_options->loopback	0
TOP.67ab44b7.000b8de8	user_options->machine_readable	0
TOP.67ab44b7.000b8de8	user_options->markov_classic	0
